"REF_DATE","GEO","DGUID","Area, production and farm value of potatoes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1910","Prince Edward Island","2016A000211","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47174","3.4","0.57","","","t","2"
"1910","Prince Edward Island","2016A000211","Total farm value, potatoes","Dollars","81","thousands","3","v47185","3.5","1429","","","t","0"
"1910","Nova Scotia","2016A000212","Seeded area","Acres","28","units","0","v47142","4.1","30800","","","","0"
"1910","Nova Scotia","2016A000212","Average yield","Hundredweight per harvested acres","159","units","0","v47153","4.2","68.8","","","","1"
"1910","Nova Scotia","2016A000212","Production","Hundredweight","156","thousands","3","v47164","4.3","2119","","","","0"
"1910","Nova Scotia","2016A000212","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47175","4.4","0.82","","","t","2"
"1910","Nova Scotia","2016A000212","Total farm value, potatoes","Dollars","81","thousands","3","v47186","4.5","1739","","","t","0"
"1910","New Brunswick","2016A000213","Seeded area","Acres","28","units","0","v47143","5.1","40400","","","","0"
"1910","New Brunswick","2016A000213","Average yield","Hundredweight per harvested acres","159","units","0","v47154","5.2","77.5","","","","1"
"1910","New Brunswick","2016A000213","Production","Hundredweight","156","thousands","3","v47165","5.3","3131","","","","0"
"1910","New Brunswick","2016A000213","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47176","5.4","0.69","","","t","2"
"1910","New Brunswick","2016A000213","Total farm value, potatoes","Dollars","81","thousands","3","v47187","5.5","2167","","","t","0"
"1910","Quebec","2016A000224","Seeded area","Acres","28","units","0","v47144","6.1","123100","","","","0"
"1910","Quebec","2016A000224","Average yield","Hundredweight per harvested acres","159","units","0","v47155","6.2","75.3","","","","1"
"1910","Quebec","2016A000224","Production","Hundredweight","156","thousands","3","v47166","6.3","9271","","","","0"
"1910","Quebec","2016A000224","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47177","6.4","0.83","","","t","2"
"1910","Quebec","2016A000224","Total farm value, potatoes","Dollars","81","thousands","3","v47188","6.5","7671","","","t","0"
"1910","Ontario","2016A000235","Seeded area","Acres","28","units","0","v47145","7.1","158400","","","","0"
"1910","Ontario","2016A000235","Average yield","Hundredweight per harvested acres","159","units","0","v47156","7.2","65.5","","","","1"
"1910","Ontario","2016A000235","Production","Hundredweight","156","thousands","3","v47167","7.3","10380","","","","0"
"1910","Ontario","2016A000235","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47178","7.4","0.84","","","t","2"
"1910","Ontario","2016A000235","Total farm value, potatoes","Dollars","81","thousands","3","v47189","7.5","8693","","","t","0"
"1910","Manitoba","2016A000246","Seeded area","Acres","28","units","0","v47146","8.1","26200","","","","0"
"1910","Manitoba","2016A000246","Average yield","Hundredweight per harvested acres","159","units","0","v47157","8.2","65.6","","","","1"
"1910","Manitoba","2016A000246","Production","Hundredweight","156","thousands","3","v47168","8.3","1720","","","","0"
"1910","Manitoba","2016A000246","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47179","8.4","0.98","","","t","2"
"1910","Manitoba","2016A000246","Total farm value, potatoes","Dollars","81","thousands","3","v47190","8.5","1690","","","t","0"
"1910","Saskatchewan","2016A000247","Seeded area","Acres","28","units","0","v47147","9.1","24000","","","","0"
"1910","Saskatchewan","2016A000247","Average yield","Hundredweight per harvested acres","159","units","0","v47158","9.2","72.9","","","","1"
"1910","Saskatchewan","2016A000247","Production","Hundredweight","156","thousands","3","v47169","9.3","1750","","","","0"
"1910","Saskatchewan","2016A000247","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47180","9.4","0.97","","","t","2"
"1910","Saskatchewan","2016A000247","Total farm value, potatoes","Dollars","81","thousands","3","v47191","9.5","1697","","","t","0"
"1910","Alberta","2016A000248","Seeded area","Acres","28","units","0","v47148","10.1","20100","","","","0"
"1910","Alberta","2016A000248","Average yield","Hundredweight per harvested acres","159","units","0","v47159","10.2","69.9","","","","1"
"1910","Alberta","2016A000248","Production","Hundredweight","156","thousands","3","v47170","10.3","1404","","","","0"
"1910","Alberta","2016A000248","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47181","10.4","0.85","","","t","2"
"1910","Alberta","2016A000248","Total farm value, potatoes","Dollars","81","thousands","3","v47192","10.5","1191","","","t","0"
"1910","British Columbia","2016A000259","Seeded area","Acres","28","units","0","v47149","11.1","10900","","","","0"
"1910","British Columbia","2016A000259","Average yield","Hundredweight per harvested acres","159","units","0","v47160","11.2","89.9","","","","1"
"1910","British Columbia","2016A000259","Production","Hundredweight","156","thousands","3","v47171","11.3","980","","","","0"
"1910","British Columbia","2016A000259","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47182","11.4","1.17","","","t","2"
"1910","British Columbia","2016A000259","Total farm value, potatoes","Dollars","81","thousands","3","v47193","11.5","1149","","","t","0"
"1911","Canada","2016A000011124","Seeded area","Acres","28","units","0","v47140","1.1","480800","","","","0"
"1911","Canada","2016A000011124","Average yield","Hundredweight per harvested acres","159","units","0","v47151","1.2","89.1","","","","1"
"1911","Canada","2016A000011124","Production","Hundredweight","156","thousands","3","v47162","1.3","42853","","","","0"
"1911","Canada","2016A000011124","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47173","1.4","0.99","","","t","2"
"1911","Canada","2016A000011124","Total farm value, potatoes","Dollars","81","thousands","3","v47184","1.5","42478","","","t","0"
"1911","Prince Edward Island","2016A000211","Seeded area","Acres","28","units","0","v47141","3.1","30800","","","","0"
